Right foot rotation,Left foot rotation
-5.43608,-2.21334
-5.51842,-2.22961
-5.60949,-2.26404
-5.70529,-2.31587
-5.80141,-2.38411
-5.89317,-2.46746
-5.97595,-2.56439
-6.0455,-2.67307
-6.09812,-2.79143
-6.13092,-2.91718
-6.142,-3.04792
-6.13049,-3.18123
-6.09658,-3.31479
-6.04151,-3.4465
-5.96741,-3.57453
-5.87714,-3.69738
-5.77413,-3.81385
-5.66215,-3.92305
-5.54513,-4.02436
-5.42706,-4.11744
-5.31177,-4.20215
-5.20285,-4.2786
-5.10345,-4.34709
-5.01623,-4.40804
-4.94323,-4.46199
-4.88592,-4.50949
-4.84511,-4.55105
-4.82103,-4.58713
-4.81337,-4.61812
-4.82135,-4.6443
-4.84375,-4.66588
-4.87899,-4.68302
-4.92523,-4.69585
-4.98045,-4.70451
-5.04255,-4.70923
-5.10945,-4.71034
-5.17922,-4.70836
-5.25009,-4.70396
-5.32054,-4.69799
-5.38925,-4.69143
-5.45517,-4.68543
-5.51747,-4.68132
-5.57551,-4.68059
-5.62885,-4.68483
-5.6772,-4.69565
-5.72041,-4.71455
-5.75841,-4.74278
-5.79125,-4.78128
-5.81903,-4.83049
-5.84194,-4.89035
-5.86025,-4.96026
-5.87425,-5.03908
-5.88431,-5.12526
-5.89077,-5.21691
-5.894,-5.31191
-5.89438,-5.408
-5.89229,-5.50294
-5.8881,-5.59459
-5.88219,-5.68102
-5.87493,-5.76062
-5.86668,-5.8321
-5.8578,-5.89456
-5.8486,-5.94743
-5.83936,-5.99053
-5.83034,-6.02398
-5.82176,-6.04819
-5.81387,-6.06378
-5.80692,-6.07153
-5.80116,-6.07227
-5.79686,-6.06691
-5.79425,-6.05631
-5.79353,-6.04133
-5.79487,-6.02272
-5.79834,-6.00119
-5.80397,-5.97733
-5.81171,-5.95159
-5.82142,-5.92437
-5.83295,-5.89596
-5.84608,-5.86664
-5.86061,-5.83667
-5.87634,-5.80629
-5.89307,-5.77577
-5.91067,-5.74536
-5.92904,-5.71531
-5.94814,-5.68589
-5.96797,-5.65741
-5.98855,-5.63017
-6.00998,-5.60449
-6.03238,-5.5807
-6.05595,-5.55915
-6.08096,-5.54016
-6.10773,-5.52404
-6.1366,-5.51105
-6.16794,-5.50138
-6.20209,-5.49511
-6.23939,-5.49219
-6.28014,-5.49242
-6.32462,-5.49545
-6.37307,-5.50076
-6.42566,-5.50777
-6.48256,-5.51581
-6.54384,-5.52422
-6.60946,-5.5324
-6.67925,-5.53988
-6.75285,-5.5463
-6.82974,-5.55143
-6.90922,-5.55519
-6.99048,-5.55758
-7.07261,-5.55866
-7.15463,-5.55853
-7.23548,-5.5573
-7.31403,-5.5551
-7.38912,-5.55207
-7.45963,-5.5484
-7.52452,-5.54429
-7.58294,-5.54
-7.6343,-5.53577
-7.67832,-5.53179
-7.71509,-5.52821
-7.74502,-5.52507
-7.76883,-5.52237
-7.78742,-5.52
-7.80173,-5.51787
-7.8126,-5.51585
-7.82065,-5.51384
-7.82625,-5.51175
-7.82945,-5.50953
-7.83,-5.50711
-7.82742,-5.50444
-7.82108,-5.50146
-7.81028,-5.4981
-7.79434,-5.49428
-7.77265,-5.48996
-7.74464,-5.48509
-7.70978,-5.47971
-7.66757,-5.47391
-7.6175,-5.46784
-7.55915,-5.46169
-7.49214,-5.45569
-7.41619,-5.45001
-7.33115,-5.44479
-7.23699,-5.44011
-7.13384,-5.43592
-7.02203,-5.43208
-6.90206,-5.42837
-6.77469,-5.42446
-6.64092,-5.41998
-6.50202,-5.41453
-6.35954,-5.40774
-6.21533,-5.39927
-6.07149,-5.38889
-5.93032,-5.37649
-5.79412,-5.36209
-5.66511,-5.3459
-5.5453,-5.32823
-5.43642,-5.30955
-5.33988,-5.2904
-5.25677,-5.27138
-5.18778,-5.25313
-5.13319,-5.23629
-5.09285,-5.22148
-5.0662,-5.20922
-5.05226,-5.19996
-5.04964,-5.19399
-5.05661,-5.19145
-5.07114,-5.19233
-5.09094,-5.19646
-5.1136,-5.20354
-5.13669,-5.21315
-5.15786,-5.22483
-5.17494,-5.23805
-5.18602,-5.25234
-5.18946,-5.26723
-5.18394,-5.28239
-5.16847,-5.29758
-5.14233,-5.31272
-5.10516,-5.32784
-5.05686,-5.34307
-4.99764,-5.35859
-4.92798,-5.37463
-4.84865,-5.39139
-4.76069,-5.40908
-4.66536,-5.42782
-4.56415,-5.44763
-4.45871,-5.46843
-4.35083,-5.49006
-4.24233,-5.51225
-4.13495,-5.53474
-4.03028,-5.55722
-3.92968,-5.5794
-3.83428,-5.601
-3.74498,-5.62173
-3.66249,-5.64137
-3.58732,-5.65969
-3.51982,-5.67652
-3.46016,-5.69169
-3.40834,-5.70504
-3.36425,-5.71643
-3.32762,-5.72572
-3.29809,-5.73277
-3.2752,-5.73743
-3.25846,-5.73954
-3.24731,-5.73894
-3.2412,-5.73548
-3.23952,-5.72903
-3.24165,-5.71948
-3.24696,-5.70683
-3.25479,-5.69121
-3.26446,-5.67292
-3.2753,-5.65249
-3.28666,-5.63064
-3.29792,-5.6083
-3.30861,-5.58657
-3.31836,-5.56663
-3.32703,-5.54971
-3.33467,-5.53694
-3.34152,-5.52933
-3.34798,-5.52767
-3.35453,-5.53252
-3.36166,-5.5442
-3.36979,-5.56276
-3.37922,-5.58798
-3.39009,-5.6194
-3.40239,-5.65628
-3.41591,-5.69767
-3.43035,-5.74239
-3.44534,-5.78908
-3.46054,-5.83622
-3.47566,-5.88223
-3.49052,-5.92552
-3.50501,-5.96458
-3.51909,-5.99808
-3.53274,-6.02491
-3.54598,-6.04428
-3.55879,-6.05577
-3.57121,-6.05929
-3.58324,-6.05519
-3.59492,-6.04416
-3.60628,-6.02719
-3.61734,-6.00553
-3.62813,-5.9805
-3.63861,-5.95341
-3.64869,-5.92539
-3.65823,-5.8973
-3.66703,-5.86963
-3.67486,-5.84247
-3.6815,-5.8155
-3.6868,-5.78801
-3.69067,-5.75894
-3.69311,-5.72695
-3.69419,-5.69058
-3.69407,-5.64826
-3.69298,-5.59854
-3.69124,-5.54013
-3.68921,-5.47204
-3.68728,-5.39361
-3.68586,-5.3046
-3.68533,-5.20523
-3.68601,-5.0962
-3.68816,-4.97871
-3.69192,-4.85443
-3.6974,-4.72542
-3.7046,-4.59402
-3.71346,-4.46266
-3.72387,-4.33377
-3.73569,-4.20965
-3.74876,-4.09238
-3.76302,-3.98378
-3.7785,-3.88531
-3.79541,-3.79805
-3.81412,-3.72271
-3.83514,-3.65966
-3.85906,-3.60897
-3.88652,-3.57046
-3.91816,-3.54375
-3.9546,-3.52833
-3.99645,-3.5236
-4.0443,-3.52884
-4.09868,-3.54332
-4.16,-3.56628
-4.2285,-3.59693
-4.30415,-3.63446
-4.38663,-3.67807
-4.47529,-3.72689
-4.56923,-3.78004
-4.66732,-3.83653
-4.7683,-3.89538
-4.87083,-3.95555
-4.97363,-4.01602
-5.07545,-4.07573
-5.17515,-4.13373
-5.27172,-4.18909
-5.36424,-4.24105
-5.45186,-4.28904
-5.53381,-4.33269
-5.60933,-4.37185
-5.67772,-4.40655
-5.73836,-4.437
-5.79073,-4.46355
-5.83445,-4.48665
-5.86931,-4.50685
-5.89531,-4.52477
